Full context,1 level,2 level,conn,ton
Да и вообще борщ бабы плохо варят!,1,8,neutral,neutral
"Говоришь про ""личность"", но постом выше хочешь засунуть бабу на принудиловку на кухню и в домохозяйки.",1,8,neutral,neutral
Бабу им надо в президенты. чтобы развалила всю армию накуй.,1,8,neutral,negative
"Сирийские больницы и заводы целее будут.  Бабу мне, остальное тебе  и не спрашивай зачем она мне",1,8,neutral,neutral
") И ещё я подумала, что бабы в нашем классе ― самые дружные существа на земле.",1,8,neutral,positive
"Станция метро ""Октябрьское поле"" ― это не центр, где дворников нанимают более-менее говорящих по-русски, да, это не бантустан, как на окраинах, но я никогда не поверю, что мимо размахивавшей головой ребёнка бабы за час не прошло ни одного мусульманина, не в Исландии же живём.",1,8,neutral,neutral
"― Вырос тунеядец, как тебе не стыдно ― бубнил Красюк, столкнувшись со мной.  ― Отрастил волосы, как баба, смотреть противно!  На завод бы тебя, к станку!",1,8,negative,negative
"Хотя, их жизненный опыт должен им подсказать, что шестирукая индийская баба, например, может одновременно двумя руками заряжать пушку, двумя наводить, а две руки еще останутся свободными, чтобы чесать во вшивом паху.",1,8,neutral,neutral
Для него бабы в той войне были всего лишь давалками.,1,8,neutral,neutral
"А тут еще, заслышав пальбу, набежали бабы, излупили водителя застрявшей бандитской «Газели».",1,8,neutral,neutral
"Да нет, мужчины не не любят умных баб.",1,8,neutral,neutral
"Но когда доходит до отношений, как бы думают: ""Какая умная баба.",1,8,neutral,neutral
"Смыл кровь из шланга – и пользуйся, а людишек бабы новых нарожают.",1,8,neutral,neutral
"Чтобы окончательно сдвинуть вам крышу, упомяну, что бахаизм – ветвь бабизма, но бабы тут совершенно не при чем, а священная книга бабистов ― Персидский Байан (см.",1,8,neutral,neutral
"За это спасибо, это как туфелька в треугольничке: «дурная баба, держись подальше».",1,8,negative,neutral
"… а вот если бы выяснилось, что Трамп хватал за промежность не баб, а мужиков, то у клинтонши не было бы шансов…",1,8,neutral,neutral
". Чтобы сразу до любви и лобзаний Эти гении искусств и культуры Не имели бы на вас притязаний И не думали, что все бабы — дуры.",1,8,negative,neutral
"На сеансах терапии я выслушиваю пару и каждого отдельно, так вот, не вдаваясь в антиэтичную конкретику, но соответствуя духу свободы, могу сказать: примерно две трети источников конфликта описываются схемой «баба придумала проблему на ровном месте и раздула отсутствие реакции на нее мужика до масштабов трагедии».",1,8,negative,neutral
"№ 2.  Баба на ""матизе"".  Прекрасные девушки, еще вчера сжигающие сцепления на учебных машинах, а сегодня уже гордо выехавшие на большую дорогу.",1,8,neutral,neutral
"20) Убил бы Вас, да жалко… оружие портить 21) Я левую руку присоединил специально для Вас 22) Вы будете играть до тех пор, контрабасы, пока не станете синими или голубыми 23) Кисть не работает – калеки рождаются в музыкальной школе 24) У вас не фашистское нашествие, а толстая баба идёт 25) Я не отступлю до тех пор, альты, пока вы не умрёте 26) Я с вами позавчера настраивался!",1,8,neutral,neutral
"Ну ясень пень хуже, на машинах надо ездить, а баб т…….. ть.",1,8,neutral,neutral
"Зашел на секунду в Кофе-Хауз и сразу узнал новое крылатое выражение от гостя столицы, устроившегося с батлом пива в углу: ""Борода ― честь, а усы и у бабы есть! """,1,8,neutral,neutral
"— Мама сказала, баб к тебе не водить.",1,8,neutral,neutral
"Я читаю, пишу, играю и разглядываю голых баб.",1,8,neutral,neutral
"Специально для Вас не упоминаю слово ""торренты"", а то некоторых Ваших мирдвермячных дружбанов это слово возбуждает сильней, чем меня возбуждают голые бабы.",1,8,neutral,neutral
"Хуярим мы с корешем бабу по очереди во все места, тут она и говорит ""женись на мне"".",1,8,neutral,neutral
Бабу со следами солярия на роже и крепкой задницей (или если ты пидор ― мальчика с еще не расточенной попкой) ― не хуй делать.,1,8,neutral,neutral
"— Э, лохи!  Кому интернет с такими бабами нужен?  — Сейчас твой зубной состав тронется.",1,8,neutral,neutral
"Изучать труд философа следует через призму опыта либо — в очках (что примерно одно и то же), когда буквы сливаются и когда голая баба на смятой подстилке снова для вас фотография или же репродукция с картины художника.",1,8,neutral,neutral
"живу в Мухосранске, работал грузчиком в супермаркете, говорю по собственному опыту ― паста хуйня и пиздёж, у нас бабы только так это питание ебошили, я сам его ел тоже при всех ― и никакого осуждения или непонимания.",1,8,neutral,neutral
Вместо молодой и стройной девочки передо мной стояла довольная баба под 90кг. весом.,2,10,neutral,neutral
"Мать увидела бутылочку в ванной ― кричит, что ""это для баб, нахрена тебе?! """,1,8,neutral,neutral
"Как говорила моя мама ""относись к другим так, как хочешь, чтобы относились к тебе"", или мой старый друг давно сказал: ""у баб слишком большие запросы при наличие всего лишь детородного органа и сисек, даже ничего толком не умеют.",1,8,negative,neutral
"— беременная баба подошла к нам, нагло тыча в меня пальцем.",1,8,negative,neutral
"Засунули языки в жопы и сидят, молчат ― потому что тут не бабы в балаклавах, тут Рамзан Кадыров может впрячься, а это уже как-то ссыкотно.",1,8,neutral,neutral
Только бабы мы все в глубине души!,1,8,neutral,neutral
"Замечали, в компаниях эти бабкоголики перестали говорить о бабах ― Только о бабках!",1,8,neutral,neutral
"Я однажды не выдержал: ― Ну давайте, как прежде, о бабах поговорим!",1,8,neutral,neutral
"Одному идея понравилась, тут же включился: ― Такие бабы нынче дорогие стали!",1,8,neutral,neutral
"Слева около «Обжорки», у тыльных стен Рыбного ряда, сидели бабы, предлагавшие сальники, пироги и другие любимые лакомства бедноты.",1,8,neutral,neutral
"ЕСЛИ БАБА ПЬЯНАЯ, она кого угодно соблазнит.",1,8,neutral,neutral
"С ТЕХ ПОР КАК МОЯ БАБКА СЛЕГЛА, я — как женщина во время войны: я и лошадь, я и бык, я и баба, и мужик.",1,8,neutral,neutral
"По вечерам мы с пашей пиздели про баб, а Илюха слушал нас на кислых щщах и рассказывал о том, как устроена рулетка.",1,8,neutral,neutral
"Вам не бывает обидно, когда водитель такси, который везет вас на вокзал или в аэропорт, посреди дороги начинает кричать: «Да какой урод разрешил бабам права выдавать?",1,8,negative,neutral
Баба за рулем – обезьяна с гранатой».  Можно задать еще много подобных вопросов.,1,8,neutral,neutral
"«У баб гораздо более инициативы, чем у мужчин.",1,8,neutral,neutral
"Бабы скорее берутся за всякое новое дело, если только это дело им, бабам, лично выгодно.",1,8,neutral,neutral
"Бабы как-то более жадны к деньгам, мелочно жадны, без всякого расчета на будущее, лишь бы только сейчас заполучить побольше денег.",1,8,neutral,neutral
"Деньгами с бабами гораздо скорее все сделаешь, чем с мужчинами».",1,8,neutral,neutral
"я баба впечатлительная, меня кошмары про зомби замучили, но все сайлент хиллы прошла, никакого трепета не испытав. в отличие от любого другого хоррора.",1,8,neutral,neutral
про то что бабы тупые еще никто не говорил?,1,8,negative,neutral
"5) дружба семьями6) приятельские отношения ― не дружба ― принимаемые девушкой за дружбу…. n) мож и еще что упустил…. по сути, ну как можно дружить с бабой?",1,8,neutral,neutral
"хочешь сказать, что не дружишь с толстыми бабами?",1,8,neutral,neutral
"Я решила с ним разобраться как баба с комаром, разобраться по-мужски, так сказать ""до первой крови"".",1,8,neutral,neutral
"― Упадет pешкой за пивом!  ― Встанет pебpом тогда по бабам!  ― Зависнет в воздухе, ну что же делать тогда в институт пойдем",1,8,neutral,neutral
Стоящие за ним: — Вот же наглая баба!,1,8,negative,neutral
"Проснулась сегодня, начала за утренним бутербродом вконтактик скроллить, и в очередной раз удивилась количеству баб с такой, знаете, масштабной челюстью нижней, которая не позволяет рту закрываться в спокойном состоянии, а если такая баба улыбается, то количество зубов, которые видны, и дёсен, которые видны, примерно одинаковое.",1,8,neutral,neutral
"Магазин электротоваров и я одна баба на весь торговый центр среди тихо снующих мужиков воплю во все горло ""дайте телефон центрального офиса я отсюда не уйду пока мне не заменят брак"" (муж в это время от стыда свалил на улицу) и мне чтоб только я заткнулась и не пугала клиентов через минуту вручают желанный товар гнусно но действенно. дерзайте",1,8,neutral,neutral
"играю я такая, никого не трогаю, а у меня скин похож на парня, подходит левая баба и говорит ""будеш моим парнем""",1,8,neutral,neutral
"Ты идиот?!  Ты что, баба?!  Ты бы еще трусы женские напялил!",1,8,negative,negative
"И совершенно было непонятно, а чего вообще защищают-то этих баб из налоговой?",1,8,neutral,negative
"– продолжал мурлыкать Игорь Нависал пауза, мужик видно перебирал в памяти всех баб с которыми спал, вспоминая от кого у него могла появиться дочь 19 лет назад.",1,8,neutral,neutral
Поганка!  – кричала баба ― Бинго!  - показал большой палец Влад.,1,8,neutral,neutral
"15 правил: как не обломать свиданьице и не проебать все, когда баба уже сидит рядом и ты типа в ее вкусе (анти блять пикап).",1,8,neutral,neutral
"Я не буду писать, как затащить бабу в постель ― потому что хуй их знает, как это сделать, они все разные и все ебнутые какие-то.",1,8,neutral,neutral
"Опять же ― эта херня не подействует на всех баб в отличие от моих статей про мужиков, которая задела большинство двуяйцевых.",1,8,neutral,neutral
"Бабы ― они все разные, как конфетки эм-энд-эмс ― и хуй поймешь их, одной что-то нравится, другая на мороз при этом выпадает, а третья вообще может тупить по черному, при любом твоем верном/ неверном действии, шаришь?",1,8,neutral,neutral
"Если тебе баба дала свой телефон и пришла на свидос, еще не факт, что она тебе даст, но скорее всего ты ей понравился и ты таки войдешь в нее.",1,8,neutral,neutral
А строить из себя охуенного ебаря перед бабой которую еще не ебал ― забудь.,1,8,neutral,neutral
"Мальчик, тяжко вздыхая: — Нет, баба, не мерзнут.",1,8,neutral,neutral
"А я считаю, что всё сделал правильно, я не баба! #Подслушано_ебанько@overhear",1,8,neutral,neutral
"Она теперь свободная, блядь, баба с хатой у пиндосов.",1,8,neutral,negative
"анекдот в тему. пришел как то к одной бабе печник, печь перекладывать. а та расстроенная вся. ну он поинтересовался, что, мол случилось. а она ему: ― да на развод я подаю.",1,8,neutral,neutral
бьет?  по бабам гуляет?  ― нее.. он храпит.. да так что в доме стекла дрожат!,1,8,neutral,neutral
это факт  Это потому что бабы ― дуры.  Ведесь на всякую херню.,1,8,negative,negative
"Если бы я таким макаром мерил баб, ходить бы мне бобылем, пока меньше зарабатывать не начну.",1,8,neutral,neutral
"ANri, ""Это ты х. уй сосешь, а я минетчица"" (с) я могу сказать единственное, что заявления, что нех вам бабам блага давать, делают только те кто их и не может дать или без возможности дать эти блага из себя ничего не представляют, ни внешне ни внутренне.",1,8,negative,neutral
"у нас в Воронеже вообще бабы распоясались… всем им подавай чтоб бабла немерено, тачка, и т. п. все такие королевы прям…. из деревни ""бабяково"" жил в Москве некоторое время. так там у девушек нет предрассудков, типа: ""неинтересный вопрос при знакомстве и т. п.",1,8,negative,negative
"Не верю, баба стерва не может быть счастлива по определению.",1,8,negative,neutral
"и еще, но чуть с другой стороны. недавно в клубе со мной решил познакомиться мужичок, внешне вполне себе, но рассказ о себе он начал с того, какой он хозяин жизни, что ему пренадлежит, и вообще как он крут, все бы ничего, «товарно-денежные отношения» довольно популярны среди любителей клубной жизни, но самое стремное было то, что он начал мне втолковывать какие бабы дуры и продажные, и мол там, в клубе он ищет ту единственную и неповторимую, такое лицемерие меня убило, пришлось сбегать.",1,8,negative,neutral
"Ну в ответ мог бы сказать, что часть баб ― бл.. ди, ванильные тупые пё.. ды, те же самые алкогольвицы и в постоянном поиске спонсора ихней распутной и нескромной жизнии….",1,8,negative,neutral
"если ты всётки баба, ну тут какбе антидипресанты не помогут уже, только суицид попытки суицида уже были нет?",1,8,neutral,neutral
"Ирод пьет.  Бабы прячут ребят.  Кто грядет ― никому непонятно: мы не знаем примет, и сердца могут вдруг не признать пришлеца.",1,8,neutral,neutral
"Лично знаю неск-ко человек, к-рые ""руками"" в столице зарабатывают на всевозможных монтажных работах от сотни в мес. но при этом удивительным образом половину умудряются банально прожирать в макдональдсах, а оставшееся сливать на случайно подвернувшихся баб (достаточно прагматичных сук, как каждый раз в последствии выясняется), при всем при этом с годами утрачивая здоровье…",1,8,neutral,neutral
"И шо, за все это время только те которые затаенные либерасты по бабам ходили?",1,8,neutral,negative
"Материалист, а чего ты как баба разговор переводишь.",1,8,negative,neutral
"Хотя, нечто подобное я и ожидал услышать ― вместо ответа что курил автор художник который рисовал рыбоголовую бабу с силиконовыми губами и не красивее ли гармоничный образ русалочки в западном мультике (хотя ответ очевиден) философские изречения….",1,8,neutral,neutral
"В Америке народу в два раза больше, чем в России.  Бабы ещё нарожают.  pectator, Поддерживать РПЦ как подконтрольную государству общественную организацию по работе с наименее образованным населением?",1,8,neutral,neutral
Надо соответствовать.  Да че с бабы возьмешь?  Тем более она просто пересказывает чужие мысли.,1,8,negative,negative
"Я бы даже сказала, я стала такой, как все остальные бабы: склочная эгоистичная истеричка.",1,8,neutral,negative
"Джентльмены, смотрел дважды, остальные и не смотрел ещё, Чудо бабу посмотрел первые полчаса, надо ещё Довод все таки глянуть",1,8,neutral,neutral
"5) Женщины – это не слабый пол, слабый пол – это гнилые доски 6) Всю жизнь я страшно боюсь глупых.  Особенно баб.  Никогда не знаешь, как с ними разговаривать, не скатываясь на их уровень.",1,8,negative,neutral
"― Девочки — это бабы, они глупые и тупые, изнеженные, противные, предательницы.",1,8,negative,negative
"Я думаю, что девушке непозволительно ругаться матом.  Ругаются бабы, а не девушки.  Я старомоден.",1,8,negative,neutral
"""Можно вывезти бабу из деревни, а вот деревню из бабы… """,1,8,neutral,neutral
"Сначала эти овощи, в лице совсем тупой бабы, начали оправдываться перед Советкиным, а потом очень вяло пугать его 282 статьей.",1,8,negative,neutral
"· Кто станет говорить речи, другому — не перебивать, но дать окончить и потом другому говорить, как честным людям надлежит, а не как бабам-торговкам.",1,8,negative,neutral
"В каждой девочке Богом заложен не просто ее пол — женский, но и способность стать «настоящей женщиной» или превратиться в пустоцвет — существо, так и не обретшее своего лица, в «простую бабу».",1,8,negative,neutral
"44) Проверьте его на перерыве, мне кажется он немножко не в себе 45) Баба – это женщина, не умеющая себя вести 46) Кто из вас больной?",1,8,negative,neutral
"Баба била — не разбила, Дед ударил — не разбил.",2,11,neutral,neutral
Ибо нефиг. За что убили бабу Машу?  Тут уже второй день многие ― в том числе и ИА Регнум ― публикуют письмо из Бучи.,2,11,neutral,neutral
Это все в нашем селе знают.  За что вы убили бабу Машу?  За что?,2,11,neutral,neutral
"Более того ― я ЗНАЮ, почему это произошло и за что убили бабу Машу.",2,11,neutral,neutral
Второй вопрос: за что убили бабу Машу?,2,11,neutral,neutral
"Спрашивали ― отвечаем: за то, что баба Маша поддрерживала расчеловечивание и радовалась шашлыку из колорадов в Одессе.",2,11,neutral,neutral
"За то, что бабе Маше казалось привильным и разумным натравить нежить на русских.",2,11,neutral,neutral
"За то, что баба Маша думала, что нежить не выйдет из-под контроля.",2,11,neutral,neutral
"Так что пусть теперь баба Маша кушает, не обляпается.",2,11,neutral,neutral
"Всех обнимаю и целую, Ваша баб Алина)👵🏼😂",2,11,neutral,neutral
"Здравствуй – улыбается овуляшка пред пенсионного возраста — Здрасьте – киваю я — А, вы тут новенький?  – спрашивает меня баба — В каком смысле?",1,8,neutral,neutral
"Или когда винят себя, друг друга, правительство, начальника, даже соседа дядю Васю или бабу Нюру из 2 подъезда.",2,11,neutral,neutral
Но у каждого из них свои причины не брать старую женщину к себе и баба Тося тайком уходит в зимнюю холодную ночь.. #Православный_кинозал@andreytkachevcom,2,11,neutral,neutral
"Суть акции: Жители деревни Верхние Клоаки в составе 5ти человек: Мэр деревни Пафнутий Феликсович, Баба Нюра (пресс-секретарь), учительница Ефросинья Петровна, видитель-охранник и проводница Зина.",2,11,neutral,neutral
"― кричала баба Марья, охаживая прутом неопрятного вида молодежь в белых фартуках, залезшую к ней в избу.",2,11,neutral,neutral
"У бабы Зины жил кот-некромант.  Я много раз наблюдала за тем, как он выкапывает в палисаднике мышиный трупик, пялится на него несколько минут в полной неподвижности, а потом издаёт короткий странный мяв.",2,11,neutral,neutral
Утром первого сентября бабу Зину увезли в больницу с острой сердечной недостаточностью.,2,11,neutral,neutral
"Он сообщил им, что баба Зина скоропостижно скончалась от обширного инфаркта и вынес на помойку два больших мешка с её вещами, а также выгнал жалобно орущего кота.",2,11,neutral,neutral
"А ещё через два часа, ближе к полуночи, кот вернулся вместе с бабой Зиной, жутко напугав «племянника» — который оказался всего лишь каким-то дальним её родственником.",2,11,neutral,neutral
А мы помогли бабе Зине принести вещи обратно и навести в квартире порядок.,2,11,neutral,neutral
"Баба Зина рассказала, что её, действительно, уже отвезли в морг, но там сердце заработало вновь, и она очнулась.",2,11,neutral,neutral
Я уходила из квартиры бабы Зины последней.,2,11,neutral,neutral
"А вождь заметил, почесав живот: «Ты всё про жопу.  А тебе бы бабу…»  Но парень продолжал: «А лучше вот: два дерева!",3,12,neutral,neutral
"Все потому, что Таня не поздоровалась с бабой Клавой, Та в отместку назвала Татьяну продажной скотиной.",2,11,neutral,neutral
"Колдуй баба, колдуй дед На госдеповский скелет Наколдуйте мне немедля Про Укропию ответ!",2,11,neutral,neutral
Я хочу вам рассказать историю про одну такую бабушку – бабу Нюру.,2,11,neutral,neutral
"У бабы Нюры есть сын и дочь, и она очень хочет вернуться домой.",2,11,neutral,neutral
Так как же баба Нюра попала к цыганам?,2,11,neutral,neutral
"Она сидела возле дома на лавочке, к ней подошла маленькая девочка.  Баба Нюра угостила ее конфеткой.  В этот момент к ней подошли две женщины.",2,11,neutral,neutral
"Баба Нюра поддалась на уговоры и поехала с ними, но она даже не предполагала, куда и за чем ее везут, и что ее ждет впереди.",2,11,neutral,neutral
"Работать попрошайкой у бабы Нюры получалось плохо, поэтому каждый вечер ее били палкой-костылем.",2,11,neutral,neutral
"Когда приехали в отделение, Юля уже знала номер телефона сына, код города, где живет сын.  Успела переговорить с внучкой бабы Нюры.  Выяснилось, что бабуля действительно потерялась и находится в розыске в Украине.",2,11,neutral,neutral
"А потом встал вопрос, что делать дальше с бабой Нюрой.",2,11,neutral,neutral
"В этот момент позвонили из уголовного розыска того самого города, где проживала баба Нюра.",2,11,neutral,neutral
"А если баба другу не даёт, то это ещё не значит, что она его не хочет!",1,8,neutral,neutral
"(если они будут плодиться такими темпами, никакого спирта не хватит))) Первой подругой стала баба Лида, которая приносит мне молоко и яйца.",2,11,neutral,neutral
"Она же, зная всех местных, возглавляет кадровое агентство ""У бабы Лиды"".",2,11,neutral,neutral
"Единственной, кто уловил что-то про космос и Гагарина, была наша соседка баба Юля, и вот она решила, что мир рухнул.",2,11,neutral,neutral
"И вот когда прошел первый ужас, что начинается война, баба Юля вдруг заплакала, бросилась в свою комнатку, заперлась и никого к себе не пускала, говорила только: ""Я жду Изю"".",2,11,neutral,neutral
"Папа, у которого всегда была очень быстрая реакция, тут же сказал: ""Что вы, баба Юля.",2,11,neutral,neutral
"в данной теме рассуждения телок, которые скоро превратятся в протухших баб.",1,8,negative,negative
"Ребенок сказал ""баба"" - умерла бабушка, сказал ""дед"" - умер дед.",3,13,neutral,neutral
"– Ну, пришла, – рассудительно протянул бородач, – и что?  Да и какая ж это баба?  Девка.",2,10,neutral,neutral
"Двойственная, противоречивая натура, любит перемены и разнообразие, ей хочется то к бабам, то к девкам побыть то Кикиморой домашней, зависимой, то Кикиморой дико-свободной, болотной.",2,10,neutral,neutral
"Баба бросила — пошёл набухался, купил проститутку, отомстил, и забыл.",3,12,neutral,neutral
"И бабу, и проститутку.  И можно дальше пиво пить.",3,12,neutral,neutral
Давай определимся с выводами:  1. у тебя нет бабы.  Совсем.,3,12,neutral,neutral
"ты возможно не понимаешь. у женщин отношение к мужикам, что они должны быть все в поту от работы. бегать за бабами предгая им шубы и бриллианты за минет. а та будет морду морщить и говорить ― ""я подумаю"". при этом должно быть равноправие и взаимоуважение. а иначе ты***** и неудачник.",1,8,negative,negative
"Старинная народная примета: как только добавила в ""Друзья"" мужчину ― тут же жди в ""Гости"" всех его баб!",3,12,neutral,neutral
Трамваефилы.  Бабу вам надо.  мдя…,3,12,neutral,neutral
Даже с бабами бывало на этой почве ссорился,3,12,neutral,neutral
"Неважно, гений ли он физик или простой Вася-фрезеровщик, неважно, какое у него образование, на скольких языках он говорит, сколько баб у него было и хорошие ли он пишет стихи, важно лишь то, насколько вам с ним комфортно.",3,12,neutral,neutral
"Мужику нужно много баб только тогда, когда все они никуда не годятся.",3,12,neutral,neutral
"Ради бабы своей все дела отложу, Чтоб в тоске у окна не сидела.",3,12,neutral,neutral
"Стандартные фразы из характеристик сотрудников (с расшифровкой для директоров):• Динамичный работник — вечно где-то шляется• Обладает представительскими навыками — классно врёт• Коммуникабелен — много трепется по телефону• Характер общительный — поддерживает каждую пьянку• Относится к работе как к главному приоритету в жизни — такой урод, что даже бабу найти не может• Самостоятельный работник — никто вообще не знает, что он делает• Живой ум — всегда наготове отмазки• Обладает взвешенными суждениями — не принимает решений• Не всегда точно исполняет указания руководства — соображает лучше начальства• Рационально подходит к сложным задачам — умеет спихнуть сложную работу на других• Стремится к повышению — угощает сотрудников пивом• Обладает свойствами лидера — на совещаниях орёт громче всех• Проявляет внимание к деталям — копуша• Эффективно использует рабочее время — часто смотрит на часы• Остроумен, обладает чувством юмора — постоянно торчит на анекдотных сайтах, знает много похабных анекдотов• Ориентирован на служебный рост — ради карьеры готов на любую подлянку• Верен интересам компании, исключительно лоялен — на другую работу устроиться не способен• Использует каждую возможность для своего развития — часто поддаёт с начальством• Тактичен — знает, когда нужно заткнуться• Представляет большую ценность для компании — является на работу вовремя• Свою работу любит — вполне можно платить ему меньше.",3,12,neutral,neutral
Видимо нужно грандиозное набухалово в реале с верными друзьями и без баб,1,8,neutral,neutral
конешно бывает.. бывает даже что в сауну без баб ходят с мужиками побухать..,1,8,neutral,neutral
"А такой вопрос: и пожрать есть и секс есть, а корабль забуксовал, в чем может быть причины?  Что еще баба делает не так?  Мозги е***?",3,12,neutral,neutral
"Из классиков было принято решение пока не исключать, так что теперь Чайковскому найдут бабу.",3,12,neutral,neutral
"Впрочем, в данном случае вместо брутальных васянов или братух-барцух он слился от трёх баб, которые его даже не обоссали, хотя по-ходу он был бы и не против.",1,8,neutral,neutral
"А когда жена говорит: «Ой, мне надо тут ещё подколоть, тут подтянуть, тут подлатать», бизнесмен начинает просчитывать, что выгоднее – старую отремонтировать или новую завести?  А бабу менять – опять расходы.",1,8,neutral,neutral
"Каждая новая баба – это новый гардероб, новые Карибы, новые квартира, машина, т. е. новая баба – это как нашествие монголо-татар.",1,8,neutral,neutral
"Ну и я к нему в гости, закрутилось как-то, завертелось…  Короче, женился на бабе одной.  Потом, правда, развелся.",1,8,neutral,neutral
Я умных люблю.  Так что опять я без бабы�,3,12,neutral,neutral
"Однако я напишу впервые такую телегу для тебя, что б ты немного ориентировался, когда твоя баба сидит рядом с тобой, такая вся красивая и вкусно пахнущая.",3,12,neutral,neutral
"Если ты идешь на свиданьице и тебе некуда вести потом бабу, то просто не ходи на свидания а иди и паши как проклятый, хотя бы заработай на съемную.",1,8,neutral,neutral
"Что касается отелей, хуй его знает, меня такая хуйня не прикалывает, даже свою долгосрочную бабу меня не прет вести в отель ― как будто старый педик пришел изменять жене.",3,12,neutral,neutral
"Мне б спокойствие и твёрду натуру Бабу верную, не блядь и не дуру.",1,8,positive,neutral
"Купишь себе потом на наркобаксы здоровья, баб, книжек с картинками, флажок черно-желтый.",1,8,neutral,neutral
"И сочувствуют тем кто бомжует и тем у кого мужья бегают по платным бабам и им от стыда и невозможности поправить ситуацию, приходится называть это явление нормальным.",1,8,negative,neutral
"· Мир — хорошо, однако при том дремать не надлежит, чтоб не связали рук, да и солдаты чтоб не сделались бабами.",1,6,negative,neutral
"… я просто, тут давеча спорила с аля бомжами, которые жаловались, что бабы-суки и им нужно только бабло… так вот: ""Я никогда не осуждал женщин, которые хотят хорошей жизни, я лишь не понимал мужчин, которые жалуются, что женщинам нужны только деньги…",1,8,negative,neutral
"Потому что тупые бабы постоянно входят со мной в лифт, не спрашивая, будет ли мне с ними комфортно.",1,8,negative,neutral
"Два года назад я провёл масштабное исследование (разумеется, масштабное в рамках моей семьи), собрал все фото и подробности о жизни деда и бабушки по материнской линии и скомпилировал их в отдельный пост Жили-были дед и баба.",3,13,neutral,neutral
"Еще чуть - чуть и я потеряю тебя, а я не хочу я три года без бабы!!!!!",3,12,neutral,neutral
Алекс: я три года бабу не видел Sexy: ну ты еще можешь?,1,8,neutral,neutral
"Потому что, как ни меняй баб, ты-то остаешься все тем же мужиком, поборником пути наименьшего сопротивления.",1,8,neutral,neutral
"― Может, кому-то и нравится ебать скулежных баб, а мне ― нет.",1,8,negative,negative
"― Надеюсь, Патти не скулила?  ― Все бабы скулят, но ты ― чемпионка.  ― Тогда почему бы тебе не вернуться к Патти?",1,8,negative,neutral
Ипать непереипать!  Куча баб!  Воронеж город студентов!,1,8,neutral,neutral
"Чёта бабы вообще ниче не дарят, ну там рубашку и одеколон на днюху, да уж мельчают женщины",1,8,neutral,neutral
